timestamp,x,y,z
1489816947.75,-6.56,0.1,6.89
1489816947.76,-6.56,0.09,7.0
1489816947.78,-6.6,0.04,7.21
1489816947.79,-6.56,0.06,7.32
1489816947.81,-6.57,0.05,7.4
1489816947.83,-6.48,0.13,7.26
1489816947.84,-6.65,-0.04,7.28
1489816947.86,-6.58,-0.02,7.15
1489816947.87,-6.56,0.01,7.17
1489816947.88,-6.47,0.2,7.13
1489816947.9,-6.53,0.03,7.13
1489816947.91,-6.57,-0.02,7.1
1489816947.92,-6.49,0.04,7.09
1489816947.94,-6.52,0.07,7.07
1489816947.96,-6.53,0.05,7.14
1489816947.97,-6.62,0.05,7.18
1489816947.99,-6.65,0.1,7.34
1489816948.0,-6.6,0.12,7.44
1489816948.01,-6.54,0.19,7.38
1489816948.03,-6.54,0.23,7.24
1489816948.04,-6.54,0.17,7.08
1489816948.06,-6.48,0.05,6.95
1489816948.07,-6.55,-0.03,6.93
1489816948.08,-6.64,-0.08,6.95
1489816948.1,-6.61,0.0,7.13
1489816948.12,-6.57,0.04,7.19
1489816948.13,-6.54,0.02,7.28
1489816948.15,-6.52,0.0,7.35
1489816948.16,-6.63,-0.04,7.14
1489816948.17,-6.58,-0.06,7.05
1489816948.19,-6.61,-0.01,7.01
1489816948.2,-6.64,0.05,7.03
1489816948.22,-6.68,0.11,7.09
1489816948.23,-6.68,0.18,7.33
1489816948.24,-6.61,0.18,7.45
1489816948.26,-6.54,0.12,7.43
1489816948.28,-6.54,0.06,7.24
1489816948.29,-6.54,0.12,7.06
1489816948.31,-6.54,0.13,6.92
1489816948.32,-6.55,0.11,6.85
1489816948.33,-6.57,0.16,6.95
1489816948.35,-6.63,0.13,7.16
1489816948.36,-6.61,0.05,7.3
1489816948.37,-6.55,0.0,7.3
1489816948.39,-6.64,0.0,7.39
1489816948.4,-6.63,0.12,7.37
1489816948.42,-6.71,0.12,7.4
1489816948.44,-6.8,-0.01,7.28
1489816948.45,-6.78,0.07,7.32
1489816948.47,-6.74,0.08,7.18
1489816948.48,-6.58,0.14,7.13
1489816948.49,-6.45,0.15,7.16
1489816948.51,-6.48,0.15,7.06
1489816948.52,-6.52,0.07,7.06
1489816948.53,-6.64,0.04,7.2
1489816948.55,-6.66,0.2,7.43
1489816948.56,-6.46,0.24,7.57
1489816948.58,-6.43,0.33,7.54
1489816948.6,-6.51,0.45,7.39
1489816948.61,-6.5,0.22,7.16
1489816948.62,-6.55,0.15,7.14
1489816948.64,-6.42,0.13,7.2
1489816948.65,-6.36,0.15,7.16
1489816948.67,-6.38,0.17,7.21
1489816948.68,-6.38,0.24,7.35
